F,18.0,2355
F,19.0,3200
F,20.0,3951
F,21.0,4478
F,22.0,5393
F,23.0,5968
F,24.0,6648
F,25.0,6940
F,26.0,7196
F,27.0,7196
F,28.0,7078
F,29.0,6623
F,30.0,6175
F,31.0,5421
F,32.0,4912
F,33.0,4244
F,34.0,3398
F,35.0,2719
F,36.0,2197
F,37.0,1642
F,38.0,1187
F,39.0,795
F,40.0,663
F,41.0,420
F,42.0,251
F,43.0,193
F,44.0,98
F,45.0,66
F,46.0,31
F,47.0,14
M,18.0,12960
M,19.0,18362
M,20.0,22373
M,21.0,26754
M,22.0,29992
M,23.0,32305
M,24.0,34279
M,25.0,34609
M,26.0,33449
M,27.0,30603
M,28.0,27559
M,29.0,23580
M,30.0,19249
M,31.0,15572
M,32.0,11713
M,33.0,8671
M,34.0,6085
M,35.0,4030
M,36.0,2494
M,37.0,1671
M,38.0,1104
M,39.0,619
M,40.0,290
M,41.0,101
M,42.0,85
M,43.0,39
