F,7893,18.0
F,9735,19.0
F,9717,20.0
F,11039,21.0
F,10623,22.0
F,11022,23.0
F,11075,24.0
F,11353,25.0
F,11667,26.0
F,11754,27.0
F,11868,28.0
F,12046,29.0
F,11956,30.0
F,12068,31.0
F,11817,32.0
F,11869,33.0
F,11427,34.0
F,11464,35.0
F,11027,36.0
F,10878,37.0
F,10502,38.0
F,10021,39.0
F,9834,40.0
F,9409,41.0
F,9064,42.0
F,8432,43.0
F,7908,44.0
F,7531,45.0
F,7105,46.0
F,6688,47.0
F,6233,48.0
F,5742,49.0
F,5329,50.0
F,4981,51.0
F,4521,52.0
F,4205,53.0
F,3718,54.0
F,3413,55.0
F,3095,56.0
F,2780,57.0
F,2510,58.0
F,2242,59.0
F,2061,60.0
F,1814,61.0
F,1499,62.0
F,1526,63.0
M,7528,20.0
M,9739,21.0
M,11234,22.0
M,12043,23.0
M,13103,24.0
M,12389,25.0
M,12422,26.0
M,11430,27.0
M,10193,28.0
M,8524,29.0
M,7228,30.0
M,5804,31.0
M,4409,32.0
M,3154,33.0
M,2217,34.0
M,1558,35.0
M,987,36.0
M,619,37.0
M,391,38.0
M,242,39.0
M,102,40.0
M,73,41.0
M,38,42.0
M,27,43.0
M,9,44.0
M,12,45.0
M,4,46.0
M,1,47.0
M,2,48.0
M,12,49.0
M,3,50.0
M,10,51.0
M,1,52.0
M,6,53.0
M,4,55.0
M,11,57.0
M,3,58.0
M,7,63.0
